Number,Category,Query,Response
"22","Hinduism-Basic","Who are the three gods in the Trimurti?","[Error: Could not parse response]"
"23","Hinduism-Basic","What is the Hindu festival of lights called?","[Error: Could not parse response]"
"24","Hinduism-Basic","What is the sacred river in Hinduism?","[Error: Could not parse response]"
"25","Hinduism-Basic","What is karma?","कर्म (Karma) is like spiritual cause and effect. Your actions, good or bad, create consequences that shape your future. Think of it as the universe's way of keeping score!\n"
"26","Hinduism-Basic","What is the Hindu symbol Om represent?","ॐ (Om) represents the essence of ultimate reality, consciousness, or Atman. It's like the sound of the universe itself!\n"
"27","Hinduism-Basic","What are the four stages of life in Hinduism?","The four stages (Ashramas) are: Brahmacharya (student), Grihastha (householder), Vanaprastha (retired), and Sannyasa (renunciate). It's like a roadmap for a fulfilling life, each stage with its own purpose.\n"
"28","Hinduism-Basic","What is dharma?","Dharma is your duty, your path, and the way you should live your life according to cosmic order. It's like your personal compass, guiding you to make the right choices.\n"
"29","Hinduism-Basic","What is the Hindu concept of rebirth called?","The Hindu concept of rebirth is called reincarnation or Punarjanma. It's the belief that after death, the soul is reborn into a new life. Think of it as life being a continuous cycle of renewal!\n"
"30","Hinduism-Basic","What is moksha?","मोक्ष (Moksha) is liberation from the cycle of rebirth, like reaching spiritual freedom. It's the ultimate goal in Hinduism. Think of it as finally graduating from the school of life!\n"
"31","Buddhism","What are the Four Noble Truths?","The Four Noble Truths are the heart of Buddhist teachings: suffering exists, it has a cause, it can be ended, and there's a path to end it. They're like a doctor's diagnosis and treatment plan for the soul!\n"
"32","Buddhism","Who founded Buddhism?","Buddhism was founded by Siddhartha Gautama, who became the Buddha. He's the one who showed the path to enlightenment!\n"
"33","Buddhism","What is the Middle Way?","The Middle Way is about avoiding extremes, finding balance in life. Not too much, not too little – just right!\n"
"34","Buddhism","What is Nirvana?","Nirvana is the ultimate goal in Buddhism – a state of perfect peace and liberation from suffering. Think of it as blissful freedom!\n"
"35","Buddhism","What are the Three Jewels of Buddhism?","The Three Jewels are the Buddha (the teacher), the Dharma (the teachings), and the Sangha (the community). They're like the core supports that guide a Buddhist on their path.\n"
"36","Buddhism","What is the Buddhist concept of suffering called?","The Buddhist concept of suffering is called Dukkha. It acknowledges that life inherently involves dissatisfaction and pain. Recognizing it is the first step to overcoming it!\n"
"37","Buddhism","What is a Bodhisattva?","A Bodhisattva is someone on the path to becoming a Buddha who postpones their own enlightenment to help others. Think of them as spiritual heroes, dedicated to helping everyone!\n"
"38","Buddhism","What are the main branches of Buddhism?","The main branches are Theravada, Mahayana, and Vajrayana. They each have unique approaches to the path of enlightenment. Like different routes up the same mountain!\n"
"39","Buddhism","What is the Buddhist scripture called?","The Buddhist scriptures are often referred to as the Tripitaka or Pali Canon. It's a collection of teachings, like a comprehensive guide to the Buddha's wisdom.\n"
"40","Buddhism","What does Buddha mean?","\"
"41","Sikhism","Who founded Sikhism?","[Error: Could not parse response]"
"42","Sikhism","What are the five Ks of Sikhism?","[Error: Could not parse response]"
"43","Sikhism","What is the Sikh holy book?","[Error: Could not parse response]"
"44","Sikhism","What is a gurdwara?","[Error: Could not parse response]"
"45","Jainism","What is ahimsa in Jainism?","[Error: Could not parse response]"
"46","Jainism","Who founded Jainism?","[Error: Could not parse response]"
"47","Jainism","What are the five vows of Jainism?","The Five Vows are: Ahimsa (non-violence), Satya (truthfulness), Asteya (non-stealing), Brahmacharya (chastity), and Aparigraha (non-attachment). They're like the ethical pillars that guide a Jain's life.\n"
"48","Taoism","What is the Tao?","The Tao is the fundamental principle of the universe, the natural order of things. It's like the underlying current that flows through everything!\n"
"49","Taoism","Who wrote the Tao Te Ching?","The Tao Te Ching is traditionally attributed to Lao Tzu. He's like the wise old sage who shared insights about living in harmony with the Tao!\n"
"50","Shinto","What is kami in Shinto?","Kami are spirits or deities revered in Shinto. They can be found in nature, objects, and even people. Think of them as the sacred presence in all things!\n"
"51","Judaism","What is the Torah?","The Torah is the first five books of the Hebrew Bible, containing foundational teachings and laws. It's like the cornerstone of Judaism!\n"
"52","Judaism","What is the Sabbath in Judaism?","The Sabbath is a day of rest and spiritual reflection, observed from Friday evening to Saturday evening. It's like a weekly pause to recharge and reconnect with what matters most!\n"
"53","Judaism","What is a Bar/Bat Mitzvah?","A Bar/Bat Mitzvah is a coming-of-age ceremony for Jewish boys and girls, marking their transition to adulthood within the community. It's like a rite of passage, stepping into responsibility and tradition.\n"
"54","Judaism","What are the main Jewish holidays?","Some main holidays are Rosh Hashanah (New Year), Yom Kippur (Day of Atonement), Passover (Exodus from Egypt), and Hanukkah (Festival of Lights). They're like important milestones on the Jewish calendar, each with its own story and meaning.\n"
"55","Judaism","What is kosher food?","Kosher food adheres to Jewish dietary laws, ensuring it's prepared and consumed according to specific guidelines. It's like following a set of culinary principles rooted in tradition!\n"
"56","Judaism","What is the Talmud?","The Talmud is a central text of Rabbinic Judaism, containing discussions and interpretations of Jewish law, ethics, and customs. It's like a rich conversation across generations, exploring the depths of Jewish wisdom.\n"
"57","Judaism","Who was Abraham?","Abraham is considered the patriarch of Judaism and a key figure in Christianity and Islam. He's like the original ancestor in faith, the one who started it all!\n"
"58","Judaism","What is the Star of David?","The Star of David is a six-pointed star, a widely recognized symbol of Jewish identity and Judaism. It's like a visual representation of their heritage and belonging.\n"
